Altium Designer Pick and Place Locations
\\Mac\Home\Yandex.Disk.localized\Development\Jobs\RHS\rlink\doc\pcb\Pick Place for rlink_pcb.csv

========================================================================================================================
File Design Information:

Date:       13/01/26
Time:       14:22
Revision:   01a5b3484e41eb1eaf9b96890788b29c6150718f
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"*?","M3","TopLayer","M3","709.000","-166.000","0",""
"*","M3","TopLayer","M3","1381.000","-1020.000","0",""
"R19","22","TopLayer","R_0402","1794.252","-570.000","0","Resistor"
"R18","22","TopLayer","R_0402","1794.000","-608.000","0","Resistor"
"U3","LP38692-3.3V","TopLayer","WSON-6","311.024","-570.866","0","LP38690, LP38692 1-A LDO CMOS Linear Regulators  Stable with Ceramic Output Capacitors"
"U1","STM32F103CBU6","TopLayer","STM-UFQFPN48_M","736.860","-646.024","135","STM32 ARM-based 32-bit MCU Performance Line with 128 kB Flash, 20 kB Internal RAM, -40 to +85°C Temperature, 48-Pin VFQFPN, Tray"
"X1","TYPE-C-31-M-12","TopLayer","HRO_TYPE-C-31-M-12","184.784","-231.221","270","USB Connectors 24 Receptacle 1 8.94*7.3mm RoHS"
"U2","USBLC6-2SC6","TopLayer","SOT95P280X145-6N","432.087","-232.284","180","17V Clamp 5A (8/20Âµs) Ipp Tvs Diode Surface Mount SOT-23-6"
"X2","PLS2-3","TopLayer","PLS-3-_NO_3D_MODEL","2023.622","-586.614","0","Header, 3-Pin"
"R14","22","TopLayer","R_0402","668.983","-374.691","315","Resistor"
"R13","22","TopLayer","R_0402","948.819","-551.181","315","Resistor"
"R9","100","TopLayer","R_0402","641.424","-402.250","135","Resistor"
"R8","1.5K","TopLayer","R_0402","389.764","-700.787","315","Resistor"
"R7","4.7K","TopLayer","R_0402","951.772","-704.724","45","Resistor"
"R6","4.7K","TopLayer","R_0402","983.268","-759.842","315","Resistor"
"R5","100","TopLayer","R_0402","157.480","-641.732","90","Resistor"
"R4","100","TopLayer","R_0402","157.480","-763.779","90","Resistor"
"R3","36K","TopLayer","R_0402","519.376","-900.899","45","Resistor"
"R2","100","TopLayer","R_0402","538.386","-751.968","225","Resistor"
"R1","10K","TopLayer","R_0402","487.205","-866.142","225","Resistor"
"C8","1uF 16V","TopLayer","C_0402","307.087","-661.417","0","Capacitor"
"C7","4.7uF 16V","TopLayer","C_0402","308.071","-481.299","0","Capacitor"
"C6","100nF 16V","TopLayer","C_0402","888.780","-767.716","225","Capacitor"
"C5","10pF 16V","TopLayer","C_0402","977.362","-925.197","45","Capacitor"
"C4","10pF 16V","TopLayer","C_0402","928.150","-974.409","225","Capacitor"
"C3","100nF 16V","TopLayer","C_0402","810.039","-423.228","225","Capacitor"
"C2","100nF 16V","TopLayer","C_0402","479.331","-633.858","45","Capacitor"
"C1","100nF 16V","TopLayer","C_0402","672.244","-887.795","45","Capacitor"
"T1","MMBT9013","TopLayer","SOT23","446.064","-791.258","225","NPN Bipolar Transistor"
"D2","*","TopLayer","LED_1206","78.740","-586.614","90","Typical INFRARED GaAs LED"
"D1","*","TopLayer","LED_1206","78.740","-826.772","90","Typical INFRARED GaAs LED"
"R17","5.1K","TopLayer","R_0402","377.496","-362.205","90","Resistor"
"R16","5.1K","TopLayer","R_0402","377.496","-105.315","270","Resistor"
"R15","22","TopLayer","R_0402","593.504","-456.693","135","Resistor"
"R12","100K","TopLayer","R_0402","947.835","-795.276","315","Resistor"
"R11","100K","TopLayer","R_0402","581.693","-803.150","45","Resistor"
"R10","4.7K","TopLayer","R_0402","782.480","-925.197","315","Resistor"
"Y1","NX3225GD-8.000M","TopLayer","NX3225GD","888.775","-885.826","135","Crystal Oscillator"
"RLINK_TP1","PLS2-5","TopLayer","PLS-5-3D__RIGHT_ANGLE","1791.339","-922.047","90","Header, 5-Pin"
"RLINK_SP1","PLS2-5","TopLayer","PLS-5-_no_3D__model","510.236","-1102.362","180","Header, 5-Pin"
